"","x"
"790","굶다"
"791","병들다"
"792","가리다"
"793","덜다"
"794","발전하다"
"795","면하다"
"796","강개하다"
"797","쳐들다"
"798","쾌차하다"
"799","토로하다"
"800","바탕하다"
"801","맺히다"
"802","졸다"
"803","제하다"
"804","당기다"
"805","타고나다"
"806","유인하다"
"807","쉬다"
"808","잠들다"
"809","문란하다"
"810","물들이다"
"811","쏟아지다"
"812","감기다"
"813","꾸다"
"814","두려워하다"
"815","위로하다"
"816","낳다"
"817","안심하다"
"818","물리치다"
"819","바라다"
"820","빼다"
"821","내버리다"
"822","도망치다"
"823","추격하다"
"824","말미암다"
"825","가입하다"
"826","칭하다"
"827","선동하다"
"828","깨뜨리다"
"829","상주하다"
"830","제수하다"
"831","이끌다"
"832","감당하다"
"833","약탈하다"
"834","골다"
"835","건드리다"
"836","요청하다"
"837","내놓다"
"838","늘리다"
"839","실시되다"
"840","긁다"
"841","담당하다"
"842","거느리다"
"843","가임하다"
"844","정비되다"
"845","북상하다"
"846","들르다"
"847","살아남다"
"848","간하다"
"849","출발하다"
"850","구상하다"
"851","대항하다"
"852","끌어내다"
"853","신중하다"
"854","접근하다"
"855","뒤따라오다"
"856","우거지다"
"857","끌어당기다"
"858","고치다"
"859","피어오르다"
"860","정돈하다"
"861","닥쳐오다"
"862","벌어다"
"863","모집하다"
"864","떠돌다"
"865","막하다"
"866","흩트리다"
"867","사양하다"
"868","순수하다"
"869","의탁하다"
"870","뛰어오르다"
"871","꼬나다"
"872","쥐다"
"873","갖추다"
"874","기력하다"
"875","채이다"
"876","끌다"
"877","감돌다"
"878","쳐내다"
"879","에워싸다"
"880","말려들다"
"881","걸려들다"
"882","자중하다"
"883","격동하다"
"884","두려워다"
"885","뛰쳐나오다"
"886","뭉개다"
"887","명하다"
"888","긁어내다"
"889","달아나다"
"890","황홀하다"
"891","가늠하다"
"892","백배하다"
"893","뒤쫓다"
"894","얕잡다"
"895","비껴들다"
"896","닥치다"
"897","자랑하다"
"898","휘두르다"
"899","뛰어들다"
"900","익다"
"901","줄어들다"
"902","우세하다"
"903","데다"
"904","고함지르다"
"905","싸우다"
"906","내달다"
"907","맞대다"
"908","피하다"
"909","낚아채다"
"910","몰려들다"
"911","밀리다"
"912","짓밟다"
"913","걸어오다"
"914","찌르다"
"915","물러서다"
"916","몰아가다"
"917","내지르다"
"918","다가오다"
"919","춤추다"
"920","맞붙다"
"921","뛰어나다"
"922","협격하다"
"923","굴러다"
"924","동요하다"
"925","밀어붙이다"
"926","내닫다"
"927","쫓다"
"928","틀어막다"
"929","엎다"
"930","빌다"
"931","항복하다"
"932","남아나다"
"933","열리다"
"934","쇠다"
"935","뚫다"
"936","날뛰다"
"937","놓치다"
"938","거두다"
"939","치하하다"
"940","가난하다"
"941","범용하다"
"942","벗하다"
"943","가까이하다"
"944","익히다"
"945","반하다"
"946","아앉다"
"947","기어오르다"
"948","꺼리다"
"949","엮다"
"950","후회하다"
"951","들킬다"
"952","뀌다"
"953","그르치다"
"954","출사하다"
"955","관장하다"
"956","돌아다니다"
"957","과하다"
"958","얹다"
"959","실패하다"
"960","방심하다"
"961","망보다"
"962","투입하다"
"963","들이치다"
"964","섬멸하다"
"965","대로하다"
"966","가능하다"
"967","수습하다"
"968","개선하다"
"969","쳐부수다"
"970","패하다"
"971","고생하다"
"972","성실하다"
"973","빼앗기다"
"974","천박하다"
"975","들뜨다"
"976","간청하다"
"977","출가하다"
"978","따다"
"979","여의다"
"980","해되다"
"981","행하다"
"982","뜻하다"
"983","맡기다"
"984","맹세하다"
"985","씻다"
"986","어찌하다"
"987","못나다"
"988","염려하다"
"989","빚어지다"
"990","진압하다"
"991","비우다"
"992","놀다"
"993","합심하다"
"994","드리다"
